Type,Tag,Parent,Label,Synonyms,Description
Location,Indoor,,Indoor,,Anything that is inside a closed building
Location,Apartment,Indoor,Apartment,Apartments,
Location,Building,Indoor,Building,Buildings,
Location,Garage,Building,Garage,Garages,
Location,House,Building,House,Houses,
Location,Shed,Building,Shed,Sheds,
Location,SummerHouse,Building,Summer House,"Summer Houses, Second Home, Second Homes",
Location,Floor,Indoor,Floor,Floors,
Location,GroundFloor,Floor,Ground Floor,"Ground Floors, Downstairs",
Location,FirstFloor,Floor,First Floor,"First Floors, Upstairs",
Location,SecondFloor,Floor,Second Floor,Second Floors,
Location,ThirdFloor,Floor,Third Floor,Third Floors,
Location,Attic,Floor,Attic,Attics,
Location,Basement,Floor,Basement,Basements,
Location,Corridor,Indoor,Corridor,"Corridors, Hallway, Hallways",
Location,Room,Indoor,Room,Rooms,
Location,Bathroom,Room,Bathroom,"Bathrooms, Bath, Baths, Powder Room, Powder Rooms",
Location,Bedroom,Room,Bedroom,Bedrooms,
Location,BoilerRoom,Room,Boiler Room,Boiler Rooms,
Location,Cellar,Room,Cellar,Cellars,
Location,DiningRoom,Room,Dining Room,Dining Rooms,
Location,Entry,Room,Entry,"Entries, Foyer, Foyers",
Location,FamilyRoom,Room,Family Room,Family Rooms,
Location,GuestRoom,Room,Guest Room,Guest Rooms,
Location,Kitchen,Room,Kitchen,Kitchens,
Location,LaundryRoom,Room,Laundry Room,Laundry Rooms,
Location,LivingRoom,Room,Living Room,Living Rooms,
Location,Office,Room,Office,Offices,
Location,Veranda,Room,Veranda,Verandas,
Location,Outdoor,,Outdoor,,
Location,Carport,Outdoor,Carport,Carports,
Location,Driveway,Outdoor,Driveway,Driveways,
Location,Garden,Outdoor,Garden,Gardens,
Location,Patio,Outdoor,Patio,Patios,
Location,Porch,Outdoor,Porch,Porches,
Location,Terrace,Outdoor,Terrace,"Terraces, Deck, Decks",
Property,Temperature,,Temperature,Temperatures,
Property,Light,,Light,"Lights, Lighting",
Property,ColorTemperature,,Color Temperature,,
Property,Humidity,,Humidity,Moisture,
Property,Presence,,Presence,,
Property,Airflow,,Airflow,,
Property,Pressure,,Pressure,,
Property,Smoke,,Smoke,,
Property,Noise,,Noise,,
Property,Rain,,Rain,,
Property,Wind,,Wind,,
Property,Water,,Water,,
Property,CO2,,CO2,Carbon Dioxide,
Property,CO,,CO,Carbon Monoxide,
Property,Energy,,Energy,,
Property,Power,,Power,,
Property,Voltage,,Voltage,,
Property,Current,,Current,,
Property,Frequency,,Frequency,,
Property,Gas,,Gas,,
Property,App,,App,Application,Software program
Property,Channel,,Channel,,
Property,Mode,,Mode,,
Property,SoundVolume,,Sound Volume,,
Property,Oil,,Oil,,
Property,Duration,,Duration,,
Property,Level,,Level,,
Property,Opening,,Opening,,
Property,Timestamp,,Timestamp,,
Property,Ultraviolet,,Ultraviolet,UV,
Property,Vibration,,Vibration,,
Point,Alarm,,Alarm,,
Point,Control,,Control,,
Point,Switch,Control,Switch,,
Point,Measurement,,Measurement,,
Point,Setpoint,,Setpoint,,
Point,Status,,Status,,
Point,LowBattery,Status,LowBattery,,
Point,OpenLevel,Status,OpenLevel,,
Point,OpenState,Status,OpenState,,
Point,Tampered,Status,Tampered,,
Point,Tilt,Status,Tilt,,
Equipment,AlarmSystem,,Alarm System,Alarm Systems,
Equipment,Battery,,Battery,Batteries,
Equipment,Blinds,,Blinds,"Rollershutter, Rollershutters, Roller shutter, Roller shutters, Shutter, Shutters",
Equipment,Boiler,HVAC,Boiler,Boilers,
Equipment,Camera,,Camera,Cameras,
Equipment,Vehicle,,Vehicle,,
Equipment,Car,Vehicle,Car,,
Equipment,CleaningRobot,,Cleaning Robot,"Cleaning Robots, Vacuum robot, Vacuum robots",
Equipment,Door,,Door,Doors,
Equipment,BackDoor,Door,Back Door,Back Doors,
Equipment,CellarDoor,Door,Cellar Door,Cellar Doors,
Equipment,FrontDoor,Door,Front Door,"Front Doors, Frontdoor, Frontdoors",
Equipment,GarageDoor,Door,Garage Door,Garage Doors,
Equipment,Gate,Door,Gate,Gates,
Equipment,InnerDoor,Door,Inner Door,Inner Doors,
Equipment,SideDoor,Door,Side Door,Side Doors,
Equipment,Doorbell,,Doorbell,Doorbells,
Equipment,Fan,HVAC,Fan,Fans,
Equipment,CeilingFan,Fan,Ceiling Fan,Ceiling Fans,
Equipment,KitchenHood,Fan,Kitchen Hood,Kitchen Hoods,
Equipment,HVAC,,HVAC,"Heating, Ventilation, Air Conditioning, A/C, A/Cs, AC",
Equipment,Inverter,PowerSupply,Inverter,Inverters,
Equipment,LawnMower,Horticulture,Lawn Mower,Lawn Mowers,
Equipment,LightSource,,Light Source,"Lightbulb, Lightbulbs, Bulb, Bulbs, Lamp, Lamps, Lights, Lighting",
Equipment,LightStrip,LightSource,Light Strip,"LightStripe, LED Strip",
Equipment,Lock,,Lock,Locks,
Equipment,NetworkAppliance,,Network Appliance,Network Appliances,
Equipment,PowerOutlet,,Power Outlet,"Power Outlets, Outlet, Outlets",
Equipment,Projector,,Projector,"Projectors, Beamer, Beamers",
Equipment,Pump,,Pump,Pumps,
Equipment,RadiatorControl,HVAC,Radiator Control,"Radiator Controls, Radiator, Radiators",
